,text,target,T,A,polarity
1004,I live in LOCATION1 which has 4 DLR stations which can get you to LOCATION2 in 10-15 minutes and then to central London,,LOCATION1,touristy,Positive
1005,I live in LOCATION1 which is a ten minute walk from Wilesden Green so feel I can answer your question accurately,,LOCATION1,touristy,Positive
1006,I live in LOCATION1 which is one of the cheapest parts of London - if not THE cheapest ,,LOCATION1,price,Positive
1007,I live in LOCATION1 which is the pits,,LOCATION1,general,Negative
1008,"I live in LOCATION1, Herts and a one bed flat is around 700-800 a month,it's a nice area too",,LOCATION1,general,Positive
1009,"I live in LOCATION1, LOCATION2 area, but am willing to travel for the right school",,LOCATION1,general,Positive
1010,"I live in LOCATION1, LOCATION2, and work in Tower Hamlets",,LOCATION1,general,Positive
1011,"I live in LOCATION1, Near Stamford bridge",,LOCATION1,general,Positive
1012,"I live in LOCATION1, and  I wouldn't advice you to consider it",,LOCATION1,general,Negative
1013,"I live in LOCATION1, and is the best place in London as far as I am concerned ",,LOCATION1,general,Positive
1014,"I live in LOCATION1, and it's great there",,LOCATION1,live,Positive
1015,"I live in LOCATION1, the border",,LOCATION1,live,Positive
1016,"I live in LOCATION1, which is considered bad, but the people that live there will not go into LOCATION2 at night  y",,LOCATION1,general,Negative
1017,"I live in LOCATION1, which is considered one of the better areas - and I've been mugged twice ",,LOCATION1,safety,Negative
1018,I live in LOCATION2 - so borderline LOCATION1,,LOCATION1,safety,Negative
1019,"I live in LOCATION2, and have been tempted also to live in LOCATION1",,LOCATION1,safety,Negative
1020,I live in London and am quite happy to walk around in LOCATION1 but I would be scared to walk around estates in LOCATION2,,LOCATION2,safety,Negative
1021,"I live in London, i hope you realise that LOCATION1 is one of the most run down areas of London and it is home to the most notorious estate in the UK",,LOCATION1,general,Negative
1022,I live in SE27 but 1 street away is SW16. It's the border between LOCATION1 and LOCATION2,,LOCATION1,general,Negative
1023,I live in a place called LOCATION1 which is North-East London on the Essex border,,LOCATION1,general,Negative
1024,I live in that neck of the woods a bit further out from LOCATION1 in zone 3 (LOCATION2),,LOCATION1,general,Negative
1025,"I live in the LOCATION1 area, surrounded by council estates and beautiful Victorian houses, I desperately want one of them, any got a half mill they can spare",,LOCATION1,general,Negative
1026,I live midway between Gatwick and LOCATION1,,LOCATION1,general,Negative
1027,I live near LOCATION1,,LOCATION1,general,Negative
1028,I live off the LOCATION1 in LOCATION2 which is a ten min bus journey to Elephant And Castle tube,,LOCATION1,general,Negative
1029,"I live on the edge of LOCATION1, so have great access to green spaces, outdoor swimming, local/independent shops and cafes, plus a generally nice, safe neighbourhood",,LOCATION1,green-nature,Positive
1030,I live pretty near to LOCATION1,,LOCATION1,green-nature,Positive
1031,"I live slightly further out in LOCATION1, SW London, which is also pretty lively, with a reasonable number of shops, and quite a few nice bars and restaurants, and is a bit cheaper ",,LOCATION1,dining,Positive
1032,"I live slightly further out in LOCATION1, SW London, which is also pretty lively, with a reasonable number of shops, and quite a few nice bars and restaurants, and is a bit cheaper I think than some other areas ",,LOCATION1,dining,Positive
1033,I lived and worked in a very poor area of London called LOCATION1  it's fill of social problems,,LOCATION1,general,Negative
1034,I lived for a while in LOCATION1/LOCATION2 in the south-east for a while,,LOCATION1,general,Negative
1035,I lived in LOCATION1 all my life until a bit after my 22nd birthday with no incidents,,LOCATION1,safety,Positive
1036,I lived in LOCATION1 for 12 years and never felt unsafe,,LOCATION1,safety,Positive
1037,"I lived in LOCATION1 for 20 years, and was using an inhaler about 3 times a day",,LOCATION1,safety,Positive
1038,I lived in LOCATION1 for a couple of years and from there I was able to walk into Central London ,,LOCATION1,transit-location,Positive
1039,I lived in LOCATION1 for a while,,LOCATION1,transit-location,Positive
1040,"I lived in LOCATION1 for four years, and the worst thing about it  was that the public transport sucks",,LOCATION1,transit-location,Negative
1041,I lived in LOCATION1 for over a yr and never had a problem ,,LOCATION1,safety,Positive
1042,I lived in LOCATION1 for six years without any problems with crime,,LOCATION1,safety,Positive
1043,I lived in LOCATION1 for years and years and had no bother,,LOCATION1,safety,Positive
1044,I lived in London for 57 years and the only time I was attacked was in posh old LOCATION1,,LOCATION1,safety,Negative
1045,I lived in the LOCATION1 area for 10 years when I first moved to London and you could have lined all the neighbours up and I wouldn't have recognised one of them,,LOCATION1,safety,Negative
1046,I lived on the border of LOCATION1 and LOCATION2 for years and never once witnessed or became the victim of any sort of crime,,LOCATION2,safety,Positive
1047,I lived on the border of LOCATION2 and LOCATION1 for almost 7 years and never had any problems,,LOCATION1,safety,Positive
1048,"I looked at all the options and opted for LOCATION1 in Kent in the end - mainly because it's very green and rural, but it's also one of the last stops for the fast coast trains before the get to London",,LOCATION1,transit-location,Positive
1049,I love LOCATION1,,LOCATION1,general,Positive
1050,"I love LOCATION1, its such a great place to spend the day, wandering around the shops and stalls and in the end you will end up buying something",,LOCATION1,general,Positive
1051,I love going to LOCATION1,,LOCATION1,general,Positive
1052,I love it around LOCATION1  ,,LOCATION1,general,Positive
1053,I love living near the LOCATION2 and LOCATION1,,LOCATION2,live,Positive
1054,I love visiting LOCATION1 and I imagine it would be a great place to live,,LOCATION1,live,Positive
1055,"I loved LOCATION1 when I lived there, good shops, restaurants and pubs  Both LOCATION2 and LOCATION1 have excellent public transport",,LOCATION1,nightlife,Positive
1056,"I loved the village and thought LOCATION1 was just beautiful , especially the lake , and it only took about 30 minutes to get to LOCATION2 Rd",,LOCATION1,green-nature,Positive
1057,I made them pretty easily through going to the American Church in London and All Souls (another cool church) and just hanging out in LOCATION1 where loads of Canadians and Americans live,,LOCATION1,green-nature,Positive
1058,I met quite often Spanish speaker in LOCATION1 area,,LOCATION1,multicultural,Positive
1059,"I might live on residence or i might live in an apartment (if i got accepted) I've been to LOCATION1 once, and I watch the show Skins (best show ever) but yeah",,LOCATION1,multicultural,Positive
1060,"I moved to LOCATION1 from Leeds, which is obviously in Yorkshire",,LOCATION1,multicultural,Positive
1061,"I must say though, if you want some really nice south of the Thames, check out LOCATION2 and LOCATION1",,LOCATION2,general,Positive
1062,I need to known this information so that I can work out a type of target audience for the resturants around the LOCATION1 lane area,,LOCATION2,general,Positive
1063,I now live in LOCATION1 and much prefer it ,,LOCATION1,live,Positive
1064,I now live in LOCATION1 and much prefer it At the moment I live in LOCATION1,,LOCATION1,general,Positive
1065,I now live in LOCATION1 with a lovely set of neighbours from all sorts of ethnic backgrounds,,LOCATION1,multicultural,Positive
1066,I only lived in LOCATION1 for a month but really liked the area,,LOCATION1,live,Positive
1067,I particularly like LOCATION1,,LOCATION1,general,Positive
1068,I personally would never live in LOCATION2 or LOCATION1 because they are too dirty,,LOCATION1,general,Negative
1069,"I prefer Gravadlax Assuming you want to keep kosher , LOCATION1 is the place to go for the top restaurants",,LOCATION1,dining,Positive
1070,"I prefer to live in a norma area with normal people I am 22 and live in LOCATION1 which i would call Southeast London, and so do all of my mates",,LOCATION1,dining,Positive
1071,I rather like LOCATION1,,LOCATION1,general,Positive
1072,I really do n't think that LOCATION1 is a good comparison though LOCATION1 's a great place to live,,LOCATION1,live,Positive
1073,I really enjoyed living in LOCATION1 and LOCATION2,,LOCATION1,live,Positive
1074,"I really like LOCATION1 and that kind of area, but it's very expensive ",,LOCATION1,price,Negative
1075,I really only know to stay away from LOCATION1 and LOCATION2,,LOCATION1,general,Negative
1076,I reccomend that you look for somewhere in LOCATION2 or in LOCATION1,,LOCATION2,general,Positive
1077,I recently moved to LOCATION1 in West London and the rent is not that high,,LOCATION1,price,Positive
1078,I rent a decent large 2 bed flat in LOCATION1 for a decent price,,LOCATION1,price,Positive
1079,"I say LOCATION1 is n't the best place but , LOCATION2 is a very nice quite area",,LOCATION1,general,Negative
1080,I see from an earlier question that you live in LOCATION1,,LOCATION1,general,Negative
1081,"I should also have mentioned that from December, South East trains will be running very fast services from  LOCATION1 into St Pancras International ",,LOCATION1,transit-location,Positive
1082,"I spent 18 months living in LOCATION1, it wasnt the safest of areas ",,LOCATION1,safety,Negative
1083,"I spent over four years studying, living and working in LOCATION1 and loved every minute  ",,LOCATION1,general,Positive
1084,I stayed at the one in LOCATION1 because it was on the tube line from LOCATION2 ,,LOCATION1,transit-location,Positive
1085,"I suggest take a 10/73/390 to LOCATION1, and walk down regents street to Hamleys",,LOCATION1,transit-location,Positive
1086,I take it you're moving to LOCATION1 to study at QMandW,,LOCATION1,transit-location,Positive
1087,I think LOCATION1 or even LOCATION2 are much better,,LOCATION1,general,Positive
1088,I think LOCATION1's not that bad an area   it's probably less rough than LOCATION1 ,,LOCATION1,general,Positive
1089,I think LOCATION1/LOCATION2 is a great area,,LOCATION1,general,Positive
1090,I think LOCATION2 is better but then I'm prejudiced LOCATION1 is one of the most expensive areas in London,,LOCATION1,price,Negative
1091,I think LOCATION2's an ok place too  LOCATION1 is nicest of those areas,,LOCATION2,general,Positive
1092,I think in deciding between LOCATION2 and LOCATION1 you really have to think about your commute,,LOCATION2,general,Positive
1093,I think it'll be fine for you  There is only onr thing that you need to know about LOCATION1,,LOCATION2,general,Positive
1094,I think pretty much most places in LOCATION1 are safe although LOCATION2 is sometimes a bit dodgy,,LOCATION2,safety,Negative
1095,I think that great care has been taken in LOCATION1 to preserve parks and green areas,,LOCATION1,green-nature,Positive
1096,I think the LOCATION2/LOCATION1 area would be absolutely perfect for you,,LOCATION2,general,Positive
1097,I think the best area in London to live for being both cheap and safe is LOCATION1,,LOCATION1,price,Positive
1098,"I think this is LOCATION2, maybe parts of LOCATION1",,LOCATION1,price,Positive
1099,I think this is influenced by big swathes of northwest LOCATION1 (covered by SM1) being endless utilitarian residential streets with precious few green spaces nor natural features to enhance the landscape,,LOCATION1,general,Negative
1100,I think you'll find LOCATION1 has a lot more crimes than LOCATION2,,LOCATION1,safety,Negative
1101,I thought London was pricey like Manhattan-but so much cleaner-safer-and relaxedLOCATION1sociallyand all,,LOCATION1,safety,Negative
1102,I used to frequently work around the LOCATION1 area as a surveyor,,LOCATION1,safety,Negative
1103,I used to live in LOCATION1 a few years ago,,LOCATION1,safety,Negative
1104,I used to live in LOCATION1 and I liked it,,LOCATION1,general,Positive
1105,"I used to live in LOCATION1 and LOCATION2, I had no problems",,LOCATION1,general,Positive
1106,I used to live in LOCATION1 and don't think you'll find that same village feel in central London,,LOCATION1,general,Positive
1107,I used to live in LOCATION1 for 3 years in the late 90's,,LOCATION1,general,Positive
1108,I used to live in LOCATION1 so I know it well,,LOCATION1,general,Positive
1109,I used to live in LOCATION1 which also has a bad reputation but I never had any trouble despite coming home alone very late at night (1-2am),,LOCATION1,safety,Positive
1110,"I used to live just up the road in LOCATION1, but couldn't afford to buy, so now live further to the North of London",,LOCATION1,price,Negative
1111,I used to live on Gray's Inn Road about 2 blocks from the address you listed and I went to school in LOCATION1,,LOCATION1,price,Negative
1112,"I used to live on LOCATION1 Road and to be honest it was the nicest, most fun place ever",,LOCATION1,general,Positive
1113,I used to work there and walking from the office to the tube after dark was a no-no I like KOKO club in LOCATION1 live bands some nights,,LOCATION1,general,Positive
1114,"I usually stay in LOCATION1 when visiting London), but extremely expensive",,LOCATION1,price,Negative
1115,"I was always up in the LOCATION1 area, going to pubs, shopping, walking around and just having fun",,LOCATION1,nightlife,Positive
1116,I was born in LOCATION1 and now have a flat in LOCATION2,,LOCATION1,nightlife,Positive
1117,I was born in LOCATION1 but moved here when i was 9months old,,LOCATION1,nightlife,Positive
1118,"I was born in LOCATION2, LOCATION1",,LOCATION1,nightlife,Positive
1119,I was forced out of LOCATION1 because the same thing happened,,LOCATION1,nightlife,Positive
1120,I was in LOCATION1 this morning to take back my library books and it was no different from when I was last in there,,LOCATION1,nightlife,Positive
1121,I was in LOCATION1 this weekend and parts around there are gorgeous,,LOCATION1,general,Positive
1122,I was in the LOCATION1/LOCATION2 area this summer and I thought it looked like a perfect place to live,,LOCATION2,live,Positive
1123,I was living in LOCATION1 and literally 5mins from me is where the Osbournes lived,,LOCATION2,live,Positive
1124,I was living in LOCATION2 and working in the London (LOCATION1) ,,LOCATION2,live,Positive
1125,"I was looking at either Leicester Square or LOCATION1, but i'm really not sure about any of them",,LOCATION2,live,Positive
1126,I was not to keen on LOCATION1 at all  ,,LOCATION1,general,Negative
1127,"I was on a train once, going from LOCATION1 to LOCATION2 Junction, it was PACKED and they were still trying to cram theirselves in",,LOCATION1,general,Negative
1128,I was out in LOCATION1 in London on Saturday and saw a most amazing display along with a giant burning man and a rocket,,LOCATION1,general,Negative
1129,"I was thinking about going to find a flat to share in the LOCATION2, LOCATION1t",,LOCATION1,general,Negative
1130,"I was thinking of LOCATION1, any opinions would be appreciated",,LOCATION1,general,Negative
1131,I was told LOCATION1 was good,,LOCATION1,general,Positive
1132,I will be working in LOCATION2 for the first 6 mths then LOCATION1 there after,,LOCATION1,general,Positive
1133,"I work in the LOCATION1 area, which is out of my price range, so have considered Clapton",,LOCATION1,price,Negative
1134,I worked in LOCATION1 and my sister and my boyfriend lived there,,LOCATION1,price,Negative
1135,I would definitely recommend LOCATION1,,LOCATION1,general,Positive
1136,"I would feel less safe walking around LOCATION1 at night than I do elsewhere in LB of LOCATION2, relatively-speaking",,LOCATION1,safety,Negative
1137,I would go for LOCATION1 myself though if you can afford it,,LOCATION1,price,Negative
1138,"I would have said LOCATION2 and LOCATION1 are obviously very nice, but hardly affordable",,LOCATION1,general,Positive
1139,I would like to live in LOCATION1 and LOCATION2,,LOCATION1,live,Positive
1140,I would look at LOCATION1,,LOCATION1,general,Positive
1141,I would look at LOCATION1 region (or LOCATION1 square),,LOCATION1,general,Positive
1142,I would n't say LOCATION1 is dangerous exactly but it definitely has higher crime rates than many other areas,,LOCATION1,safety,Negative
1143,"I would n't want to live in either , but LOCATION1 has some nice houses being build along the canal and the Olympics will force the council to improve matters further",,LOCATION1,general,Positive
1144,I would not feel safe walking at night in LOCATION1,,LOCATION1,safety,Negative
1145,I would pick LOCATION1,,LOCATION1,general,Positive
1146,I would prob have to say that LOCATION1 is nicer - LOCATION2 is too boxy ,,LOCATION1,general,Positive
1147,I would put in a good word for LOCATION1 though,,LOCATION1,general,Positive
1148,I would recommend LOCATION2 or LOCATION1,,LOCATION2,general,Positive
1149,"I would recommend a suburb called LOCATION1, as it has a Thames link Line and a large underground station making transport very convenient",,LOCATION1,transit-location,Positive
1150,I would recommend either LOCATION1 or LOCATION2 as an alternative,,LOCATION2,general,Positive
1151,"I would say , LOCATION1 is an affordable area where you can grab a 3 bed flat for under 250k",,LOCATION1,price,Positive
1152,I would say LOCATION1 ( brondesbury park ) is definitely an ideal place,,LOCATION1,general,Positive
1153,I would say LOCATION1 but it's so expensive,,LOCATION1,price,Negative
1154,"I would say LOCATION1, but being one of the nicer areas from your list the housing will be really expensive ",,LOCATION1,price,Negative
1155,I would say somewhere like LOCATION1 or LOCATION2,,LOCATION2,general,Positive
1156,I would suggest LOCATION1,,LOCATION1,general,Positive
1157,"I would suggest LOCATION1, West London",,LOCATION1,general,Positive
1158,"I would suggest LOCATION2, LOCATION1",,LOCATION2,general,Positive
1159,I would suggest living in LOCATION1 itself which is a very pleasant area,,LOCATION1,live,Positive
1160,"I would suggest that you consider smaller cities like LOCATION1, i looked at some pictures and i think its gorgeous:)",,LOCATION1,general,Positive
1161,I would suggest the best place to live is LOCATION1 in south London  ,,LOCATION1,live,Positive
1162,I would try and avoid living in LOCATION2 or LOCATION1 as they are close to  a LOT of council estates and both generally,,LOCATION2,live,Negative
1163,I wouldn't live in LOCATION1 ,,LOCATION1,live,Negative
1164,"I wouldn't live in LOCATION1, if I could avoid it",,LOCATION1,live,Negative
1165,I wouldn't want to live in a council estate in LOCATION1,,LOCATION1,live,Negative
1166,"I''ve been only in the west part and I read that LOCATION2/LOCATION1 is becoming popular and trendy among youths, isn't it",,LOCATION2,general,Positive
1167,"I'D go for LOCATION1, if I were YOU",,LOCATION1,general,Positive
1168,I'd avoid LOCATION1 and LOCATION2 - they're not too nice,,LOCATION1,general,Negative
1169,I'd avoid nearby LOCATION1 though,,LOCATION1,general,Negative
1170,I'd certainly prefer LOCATION1 to LOCATION1 ,,LOCATION1,general,Positive
1171,I'd go for very central - LOCATION2 or LOCATION1,,LOCATION2,transit-location,Positive
1172,I'd place richmond slightly ahead of LOCATION1 because its on the River Thames and close to the Royal Botantic Gardens at LOCATION2,,LOCATION2,transit-location,Positive
1173,I'd prefer to stay as close as possible to the major LOCATION1 hub,,LOCATION1,transit-location,Positive
1174,I'd rather live in LOCATION1,,LOCATION1,live,Positive
1175,I'd rather live in LOCATION1 ,,LOCATION1,live,Positive
1176,"I'd recommend LOCATION1 - you should be able to get, a least, a reasonably sized studio, or one-bedroom flat for that price around there",,LOCATION1,general,Positive
1177,"I'd recommend LOCATION1 in particular, which is near LOCATION1 and feels very safe",,LOCATION1,safety,Positive
1178,"I'd recommend LOCATION1, LOCATION2",,LOCATION1,general,Positive
1179,I'd say LOCATION1 or LOCATION2 would be the best areas within easy reach ,,LOCATION2,general,Positive
1180,I'd stay away from LOCATION1 at all costs as the transport is rubbish ,,LOCATION1,transit-location,Negative
1181,I'd suggest independant research  LOCATION1 area is being gentrified and is less expensive than say LOCATION2,,LOCATION1,transit-location,Negative
1182,I'd suggest looking at LOCATION2 or LOCATION1  Good website is gumtree,,LOCATION2,general,Positive
1183,I'll be living near LOCATION1,,LOCATION2,general,Positive
1184,"I'll go to LOCATION1, particularly LOCATION2",,LOCATION1,general,Positive
1185,I'm a bit cheesed off as this area comes under LOCATION1 and I'm from a different area,,LOCATION1,general,Positive
1186,I'm a fan of LOCATION1 though,,LOCATION1,general,Positive
1187,"I'm an LOCATION1 boy, meself, and I know for a fact that Chas Hodges- (from Chas and Dave), comes from my area",,LOCATION1,general,Positive
1188,I'm from LOCATION1,,LOCATION1,general,Positive
1189,"I'm going to be studying at the Qantm College which is at LOCATION1 Road, near LOCATION2",,LOCATION1,general,Positive
1190,"I'm in touch with a very nice family, but they live in LOCATION1 and this is the zone 4 of the London",,LOCATION1,general,Positive
1191,"I'm living in LOCATION1 at the moment and am extremely unhappy ,  the area is a bit scary at night and need to move asap",,LOCATION1,safety,Negative
1192,"I'm living in LOCATION1 right now with my brother, and sister it's pretty nice ",,LOCATION1,live,Positive
1193,"I'm living in LOCATION1, yeah it's a safe area, calm enough but as everywhere, might happen to run into bad people",,LOCATION1,safety,Positive
1194,I'm looking to move to LOCATION1 or somewhere near there,,LOCATION1,safety,Positive
1195,"I'm mounique I'm 14 and live in LOCATION1 in London, It is a deprived area and high in crime, there is massive gangs around who cause trouble",,LOCATION1,safety,Negative
1196,I'm moving to LOCATION1 soon,,LOCATION1,safety,Negative
1197,I'm not sure about the surrounding areas to Essex but i live about 25 mins from Essex tho i don't know how far LOCATION1 is exactly,,LOCATION1,safety,Negative
1198,"I'm not sure exactly where I'm staying, but I think the closest station (of any kind) is LOCATION1 DLR",,LOCATION1,safety,Negative
1199,I'm only too glad my parents (cockneys of the first order) were not able to see London change so badly One really nice area is LOCATION2 or LOCATION1,,LOCATION1,safety,Negative
1200,I'm originally from LOCATION1 and I've never looked down at those that come from the South or East of London,,LOCATION1,safety,Negative
1201,I'm ready to get on the property ladder and LOCATION1 is out of my budget,,LOCATION1,price,Negative
1202,"I'm sorry my dear but if you want more affordable than the areas you have mentioned, you are looking at areas like LOCATION1",,LOCATION1,price,Negative
1203,I'm used to living in bad areas and to move to LOCATION1 was just amazing,,LOCATION1,live,Positive
1204,"I've always found LOCATION1 to feel quite safe, but up nearer LOCATION2 it can feel a bit less secure",,LOCATION1,safety,Positive
1205,"I've always liked LOCATION1 and LOCATION2 meself, hon",,LOCATION1,general,Positive
1206,I've always loved the area around LOCATION1  ,,LOCATION1,general,Positive
1207,"I've had some recommendations that I stay along bayswater Road around the LOCATION1 Station as it is ""nicer"" and ""safer""",,LOCATION1,safety,Positive
1208,I've heard LOCATION1 is one of them,,LOCATION1,safety,Positive
1209,I've heard from a few ex work mates the council areas in LOCATION1 are not very nice but it's not personal experience though,,LOCATION1,general,Negative
1210,I've heard that LOCATION2 and LOCATION1 are dangerous,,LOCATION1,safety,Negative
1211,I've learned that LOCATION1 is home to luxiury and wealth,,LOCATION1,price,Negative
1212,I've lived here for over 20 yrs and before that in LOCATION1 for  ah but that would be telling,,LOCATION1,price,Negative
1213,"I've lived in LOCATION1 all my life, and  haven't had many problems  LOCATION1 has changed so much",,LOCATION1,safety,Positive
1214,"I've never been to LOCATION2, so don't know about that one  LOCATION1",,LOCATION1,safety,Positive
1215,"I've never properly lived in London but I have stayed there for a couple of months (in LOCATION1, ",,LOCATION1,safety,Positive
1216,"I've previously lived in LOCATION2, LOCATION1, SW London and NW London",,LOCATION1,safety,Positive
1217,I've spent a lot of time in LOCATION1 and can confirm it's generally quite a deprived area and certainly not that safe after dark,,LOCATION1,safety,Negative
1218,"IF money was no option, AND if i could have a house in this particular place, then i would say LOCATION1",,LOCATION1,price,Negative
1219,"Id love to live in the LOCATION1 area, it looks so nice and clean and transport is great in there",,LOCATION1,live,Positive
1220,Id say have a tube up to LOCATION1 and look round  on a Sunday,,LOCATION1,live,Positive
1221,"If I could afford to buy there, I would  LOCATION1 is one of the most expensive areas in London and there aren't a lot of single people",,LOCATION1,price,Negative
1222,If I had a few million spare I'd love to buy a house in LOCATION1,,LOCATION1,price,Negative
1223,"If I had to live in one of them, I would choose the LOCATION1 area of LOCATION2 (if I could afford it)",,LOCATION1,price,Negative
1224,If I wanted to be near the centre I would go for LOCATION1 (so East),,LOCATION1,transit-location,Positive
1225,"If I were personally buying a property in London, I would probably go for LOCATION1 as it is a great area, always in demand ",,LOCATION1,general,Positive
1226,If anyone offered me a place on The LOCATION1 I'd jump at it,,LOCATION1,general,Positive
1227,"If by ""ends"" you mean East End and LOCATION1, they are just description of parts of London",,LOCATION1,general,Positive
1228,If he is driving living in LOCATION2 would mean the LOCATION1 Tunnel under the Thames every day,,LOCATION1,general,Positive
1229,If i had to choose between the two i would definitely go for LOCATION1 though,,LOCATION1,general,Positive
1230,"If it is just the lifestyle you want and you can afford it , LOCATION1 is very popular with the young trendy after work crowd ( mainly media types ) with lots of nice bars and restaurants and organic bakeries and the like",,LOCATION1,nightlife,Positive
1231,If it is n't too expensive LOCATION1 would be a good bet as well,,LOCATION1,general,Positive
1232,"If not central,   LOCATION1 if you're rich  ",,LOCATION1,price,Negative
1233,If not then High street LOCATION1 and around Earl's Court Road,,LOCATION1,price,Negative
1234,"If so, take the DLR to LOCATION1 and enjoy the big shopping mall there",,LOCATION1,shopping,Positive
1235,"If that IS the case, was it Upper or LOCATION2 which used to be LOCATION1",,LOCATION1,shopping,Positive
1236,"If you 're a young male drug-dealer who takes part in the occasional heist , then yes , LOCATION1 could be dangerous for you",,LOCATION1,safety,Negative
1237,"If you are an average person, you wont be able to afford to live right near LOCATION2 or LOCATION1",,LOCATION2,price,Negative
1238,"If you are at the end adjoining LOCATION2 and LOCATION1, you should be all right",,LOCATION2,general,Positive
1239,"If you are interested in the monarchy and the trappings of power , LOCATION1 is the place for you",,LOCATION2,general,Positive
1240,"If you are looking for somewhere a bit quieter, then try LOCATION1, or somewhere like that",,LOCATION1,quiet,Positive
1241,"If you are lucky enough to get into school you are going to have a fun time in LOCATION1  LOCATION1 is one of the hippest, trendiest parts of London",,LOCATION1,quiet,Positive
1242,If you are not bothered about having a train/tube station you could try LOCATION1,,LOCATION1,transit-location,Negative
1243,If you are not planning on going out that much in the evenings LOCATION1 would be ok,,LOCATION1,nightlife,Negative
1244,If you are on the main LOCATION1 then it may be noisy,,LOCATION1,quiet,Negative
1245,If you are reallly wealthy and want to stay somewhere safe then try LOCATION1  Over a quarter of a million for a shoe box,,LOCATION1,quiet,Negative
1246,"If you are rich, you might live in LOCATION1",,LOCATION1,price,Negative
1247,"If you are seriously thinking of the LOCATION1 area, you should visit and get a feel for the place",,LOCATION1,price,Negative
1248,"If you are thinking north, then perhaps look at LOCATION1",,LOCATION1,general,Positive
1249,If you are young and want a nightlife and lively area then LOCATION1 is good,,LOCATION1,nightlife,Positive
1250,"If you came to London for spectacle, take a trip to a trial at the LOCATION1, the highest court in the land",,LOCATION1,nightlife,Positive
1251,"If you can afford more, then move somewhere better (LOCATION1 or LOCATION2)",,LOCATION2,price,Negative
1252,If you can afford to live in LOCATION1 then go for it,,LOCATION1,price,Negative
1253,"If you come to London the majority of ""Tourist Attractions"" are based in LOCATION1 too  ",,LOCATION1,touristy,Positive
1254,"If you consider living with the Bengals and Asian, then LOCATION1 is good; ",,LOCATION1,multicultural,Positive
1255,"If you don't have a lot of budget, you could flat share in LOCATION1 as it is quite expensive",,LOCATION1,price,Negative
1256,"If you end up down there, be sure to check out LOCATION1 Market if you like vintage and small designers and handmade stuff, especially clothes",,LOCATION1,shopping,Positive
1257,If you go a little further west to LOCATION1 or LOCATION2 you will still be near the central area and presumably pay a litlle less  chk out  berlin,,LOCATION1,price,Positive
1258,If you go by tube then West LOCATION1 is nice,,LOCATION1,general,Positive
1259,"If you had been born where you were about 100 years earlier, you would not be a Londoner, but a LOCATION1 Boy - LOCATION1 the county, no longer exists, except as an addition to an address",,LOCATION1,general,Positive
1260,If you have a little more money look at LOCATION1 or LOCATION2  ,,LOCATION1,price,Negative
1261,"If you have been a girl scouts before, you can enquire to put up at Baden House near LOCATION1 area",,LOCATION1,price,Negative
1262,"If you have loads of money , LOCATION1 is beautiful but expensive It depends what your budget is , LOCATION1 one of the poshest ",,LOCATION1,price,Negative
1263,"If you have only been to Central London, then LOCATION1 will feel very different",,LOCATION1,price,Negative
1264,If you have time walk along the LOCATION2 under LOCATION1 Bridge to see Shakespeare's Globe ,,LOCATION1,price,Negative
1265,"If you like London living and want to be near the centre of London , then LOCATION1 is a good choice",,LOCATION1,transit-location,Positive
1266,"If you look at the map above, LOCATION1 is generally cheaper to live than LOCATION1",,LOCATION1,price,Positive
1267,"If you mean 46 LOCATION1 Church Street, that is the address of KAC Hardware  ",,LOCATION1,price,Positive
1268,If you must live in London I would suggest LOCATION1 - it has far more life and ,,LOCATION1,general,Positive
1269,If you need to commute to London on a daily basis then LOCATION1 is at the end of the District Line and is a decent area ,,LOCATION1,transit-location,Positive
1270,"If you plan to stay near Albert Hall, then you will be stayin in an area called LOCATION1",,LOCATION1,transit-location,Positive
1271,If you really want action you could even live in LOCATION1 for that kind of money,,LOCATION1,price,Negative
1272,If you scoot across a little way to LOCATION1 it's nice but LOCATION2 itself is pretty rough ,,LOCATION2,safety,Negative
1273,If you want a bit better quality of life  consider LOCATION1 and LOCATION2  being the nicest in my opinion,,LOCATION2,general,Positive
1274,"If you want a nice peaceful area to live in, I would suggest LOCATION1",,LOCATION1,quiet,Positive
1275,If you want a place near the centre that's fairly cheap: try LOCATION1,,LOCATION1,price,Positive
1276,"If you want a proper genuine street market, visit LOCATION1 market near Ladbroke Grove on Saturday",,LOCATION1,shopping,Positive
1277,"If you want cheap AND nice, you could consider towns and cities surrounding London, like Reading, Slough, LOCATION1, Chelmsford etc  or to get ever better, choose a village near a town which is near London",,LOCATION1,shopping,Positive
1278,If you want cheaper head more over towards LOCATION2 or LOCATION1 is cheaper again and would be more convenient travel-wise for the London,,LOCATION1,price,Positive
1279,If you want lots of clubs/bars in one place then I would suggest LOCATION1,,LOCATION1,nightlife,Positive
1280,"If you want posh and near LOCATION2, than go for LOCATION1",,LOCATION1,price,Negative
1281,If you want slightly nicer  look at homes in LOCATION1,,LOCATION1,general,Positive
1282,"If you want something cheaper then look at the LOCATION2, LOCATION1",,LOCATION2,price,Positive
1283,If you want somewhere more funkier and trendier - what about LOCATION1,,LOCATION1,general,Positive
1284,If you want to take risks walk around LOCATION1(istan) E,,LOCATION1,safety,Negative
1285,"If you were to go out to somewhere like LOCATION1, then you would have a very long commute to the London ",,LOCATION1,transit-location,Negative
